project,description,start_date,start_time,end_date,end_time,duration,type,effort_hours
OAPerception,Data analysis,2022-09-07,09:10:00,2022-09-07,11:30:00,02:20:00,Research,2.3333333333333335
OAPerception,Data analysis,2022-09-07,17:00:00,2022-09-07,18:45:00,01:45:00,Research,1.75
OAPerception,Data analysis,2022-09-07,21:15:00,2022-09-07,23:45:00,02:30:00,Research,2.5
TA-CCT419,Syllabus date issue,2022-09-08,09:30:00,2022-09-08,09:40:00,00:10:00,TA,0.16666666666666666
Cookie Lab,Meeting - Cookie Lab,2022-09-08,10:00:00,2022-09-08,10:35:00,00:35:00,Other Activities,0.5833333333333334
OAPerception,Data analysis,2022-09-08,10:40:00,2022-09-08,11:55:55,01:15:55,Research,1.2652777777777777
OAPerception,Data analysis,2022-09-08,12:45:00,2022-09-08,13:30:00,00:45:00,Research,0.75
OAPerception,Data analysis,2022-09-08,17:30:00,2022-09-08,19:30:00,02:00:00,Research,2
OAPerception,Data analysis,2022-09-08,20:50:00,2022-09-08,22:35:00,01:45:00,Research,1.75
OAPerception,Data analysis,2022-09-09,17:00:00,2022-09-09,18:00:00,01:00:00,Research,1
OAPerception,Data analysis,2022-09-10,21:45:00,2022-09-10,23:55:00,02:10:00,Research,2.1666666666666665
OAPerception,Data analysis,2022-09-11,20:20:00,2022-09-11,21:12:47,00:52:47,Research,0.8797222222222222
OAPerception,Data analysis,2022-09-11,22:10:00,2022-09-11,23:22:00,01:12:00,Research,1.2
NA,"Admin - transfer course, timesheet, NSERC",2022-09-12,10:50:00,2022-09-12,11:56:00,01:06:00,Admin,1.1
OAPerception,Data analysis,2022-09-12,11:57:00,2022-09-12,12:28:44,00:31:44,Research,0.5288888888888889
OAPerception,Interview P99,2022-09-12,13:00:00,2022-09-12,13:59:38,00:59:38,Research,0.9938888888888889
OAPerception,Data analysis,2022-09-12,13:59:00,2022-09-12,15:07:29,01:08:29,Research,1.1413888888888888
CCT419,UXD and board games ,2022-09-12,17:00:00,2022-09-12,19:45:00,02:45:00,Learning,2.75
OAPerception,Data analysis,2022-09-12,21:30:00,2022-09-12,22:30:00,01:00:00,Research,1
OAPerception,Data analysis,2022-09-13,09:50:00,2022-09-13,12:45:50,02:55:50,Research,2.9305555555555554
INF2241,Class  ,2022-09-13,13:00:00,2022-09-13,15:30:00,02:30:00,Course Work,2.5
OAPerception,Data analysis,2022-09-13,21:30:00,2022-09-13,23:17:01,01:47:01,Research,1.783611111111111
OAPerception,Data analysis,2022-09-14,10:00:00,2022-09-14,14:48:36,04:48:36,Research,4.81
INF2241,Reading - Wk2,2022-09-15,09:15:00,2022-09-15,12:30:00,03:15:00,Course Work,3.25
Disfluency perception,Walk through code with Kusum,2022-09-15,15:00:00,2022-09-15,16:55:00,01:55:00,Research,1.9166666666666667
NA,NSERC info session,2022-09-15,21:48:00,2022-09-15,22:49:51,01:01:51,Admin,1.0308333333333333
NA,Admin - transfer course,2022-09-16,11:17:00,2022-09-16,11:35:00,00:18:00,Admin,0.3
INF2241,Arduino,2022-09-16,11:35:00,2022-09-16,12:39:08,01:04:08,Course Work,1.068888888888889
INF3001,Class,2022-09-16,13:00:00,2022-09-16,15:30:00,02:30:00,Course Work,2.5
INF2241,Arduino project 2,2022-09-16,17:11:00,2022-09-16,18:08:34,00:57:34,Course Work,0.9594444444444444
NA,NSERC,2022-09-17,20:26:00,2022-09-17,22:24:03,01:58:03,Admin,1.9675
NA,NSERC,2022-09-18,12:15:00,2022-09-18,13:15:00,01:00:00,Admin,1
NA,NSERC,2022-09-18,21:25:00,2022-09-19,00:47:22,03:22:22,Admin,3.372777777777778
CCT419,class + reading,2022-09-19,16:40:00,2022-09-19,20:00:00,03:20:00,Learning,3.3333333333333335
NA,NSERC,2022-09-19,22:00:00,2022-09-19,23:02:49,01:02:49,Admin,1.0469444444444445
NA,NSERC,2022-09-20,11:07:00,2022-09-20,12:30:00,01:23:00,Admin,1.3833333333333333
INF2241,Class,2022-09-20,13:10:00,2022-09-20,16:00:00,02:50:00,Course Work,2.8333333333333335
NA,NSERC,2022-09-20,16:00:00,2022-09-20,17:15:00,01:15:00,Admin,1.25
NA,NSERC,2022-09-20,18:30:00,2022-09-20,19:44:00,01:14:00,Admin,1.2333333333333334
NA,NSERC,2022-09-20,19:45:21,2022-09-20,20:37:10,00:51:49,Admin,0.8636111111111111
NA,NSERC,2022-09-20,21:33:00,2022-09-21,02:29:00,04:56:00,Admin,4.933333333333334
Disfluency perception,knowledge transfer,2022-09-21,12:30:00,2022-09-21,14:15:00,01:45:00,Research,1.75
INF3001,Reading,2022-09-21,17:15:00,2022-09-21,18:30:30,01:15:30,Course Work,1.2583333333333333
NA,NSERC,2022-09-21,20:45:00,2022-09-22,01:24:00,04:39:00,Admin,4.65
Cookie Lab,Meeting - Cookie Lab,2022-09-22,10:00:00,2022-09-22,10:45:00,00:45:00,Other Activities,0.75
Disfluency perception,running application on my machine,2022-09-22,16:30:00,2022-09-22,18:30:00,02:00:00,Research,2
NA,NSERC,2022-09-22,18:30:00,2022-09-22,21:00:00,02:30:00,Admin,2.5
Disfluency perception,getting the project to work,2022-09-23,09:50:00,2022-09-23,10:42:00,00:52:00,Research,0.8666666666666667
INF3001,class,2022-09-23,13:10:00,2022-09-23,15:00:00,01:50:00,Course Work,1.8333333333333333
INF2241,reading,2022-09-24,12:00:00,2022-09-24,13:45:00,01:45:00,Course Work,1.75
INF2241,Reading,2022-09-24,19:25:00,2022-09-24,22:02:00,02:37:00,Course Work,2.6166666666666667
INF3001,Reading,2022-09-25,14:06:00,2022-09-25,16:02:28,01:56:28,Course Work,1.941111111111111
NA,"Admin - emails, Twitter",2022-09-26,10:51:00,2022-09-26,11:21:00,00:30:00,Admin,0.5
INF3001,presentation,2022-09-26,15:23:00,2022-09-26,16:32:19,01:09:19,Course Work,1.1552777777777778
CCT419,class,2022-09-26,17:10:00,2022-09-26,20:00:00,02:50:00,Learning,2.8333333333333335
INF2241,reading and Arduino,2022-09-27,11:30:00,2022-09-27,12:53:00,01:23:00,Course Work,1.3833333333333333
INF2241,Class,2022-09-27,13:10:00,2022-09-27,16:00:00,02:50:00,Course Work,2.8333333333333335
TA-INF2208,TA meeting with Anastasia,2022-09-27,16:30:00,2022-09-27,17:10:00,00:40:00,TA,0.6666666666666666
INF3001,presentation,2022-09-27,21:24:00,2022-09-27,23:55:47,02:31:47,Course Work,2.5297222222222224
INF3001,presentation,2022-09-28,09:15:22,2022-09-28,10:53:58,01:38:36,Course Work,1.6433333333333333
Cookie Lab,paper presentation,2022-09-28,14:00:50,2022-09-28,16:00:46,01:59:56,Other Activities,1.998888888888889
Cookie Lab,Meeting - Cookie Lab,2022-09-29,10:00:44,2022-09-29,10:45:53,00:45:09,Other Activities,0.7525
Reading,stitching together conversation,2022-09-29,11:30:00,2022-09-29,12:30:00,01:00:00,Research,1
NA,1:1 with Anastasia,2022-09-29,14:00:00,2022-09-29,15:00:00,01:00:00,Research,1
Disfluency perception,debug code,2022-09-29,15:00:16,2022-09-29,16:25:37,01:25:21,Research,1.4225
INF2241,project 8 digital hourglass,2022-09-29,17:23:32,2022-09-29,18:23:49,01:00:17,Course Work,1.0047222222222223
INF2208,class,2022-09-29,18:30:00,2022-09-29,20:30:00,02:00:00,Learning,2
INF3001,practice presentation,2022-09-30,10:30:00,2022-09-30,11:33:00,01:03:00,Course Work,1.05
INF3001,Class,2022-09-30,13:00:00,2022-09-30,15:00:00,02:00:00,Course Work,2
INF2241,Reading about ethics of CAs,2022-10-01,09:30:00,2022-10-01,12:30:00,03:00:00,Course Work,3
Reading,Reading,2022-10-01,20:00:00,2022-10-01,21:45:00,01:45:00,Research,1.75
TA-INF2208,Marking IPPs,2022-10-03,08:44:53,2022-10-03,10:22:37,01:37:44,TA,1.6288888888888888
INF2241,Reading,2022-10-03,15:39:31,2022-10-03,16:33:49,00:54:18,Course Work,0.905
CCT419,class,2022-10-03,17:10:00,2022-10-03,20:05:00,02:55:00,Learning,2.9166666666666665
INF2241,Reading,2022-10-03,21:27:57,2022-10-03,22:39:10,01:11:13,Course Work,1.1869444444444444
Reading,Reading,2022-10-04,12:13:18,2022-10-04,12:53:58,00:40:40,Research,0.6777777777777778
INF2241,Class,2022-10-04,13:10:00,2022-10-04,16:00:00,02:50:00,Course Work,2.8333333333333335
INF3001,Reading,2022-10-05,09:06:30,2022-10-05,12:15:20,03:08:50,Course Work,3.147222222222222
INF3001,Reading,2022-10-05,14:00:00,2022-10-05,15:01:19,01:01:19,Course Work,1.0219444444444445
Cookie Lab,Meeting - Cookie Lab,2022-10-06,10:00:00,2022-10-06,10:45:00,00:45:00,Other Activities,0.75
Disfluency perception,"model, play with DialogFlow",2022-10-06,11:30:40,2022-10-06,13:30:41,02:00:01,Research,2.000277777777778
Lit Review,Reading,2022-10-06,13:57:31,2022-10-06,18:20:16,04:22:45,Research,4.379166666666666
INF2208,class,2022-10-06,18:35:00,2022-10-06,20:30:00,01:55:00,Learning,1.9166666666666667
Lit Review,Reading,2022-10-06,22:00:23,2022-10-06,23:37:40,01:37:17,Research,1.621388888888889
INF2241,Reading,2022-10-07,08:44:12,2022-10-07,11:03:40,02:19:28,Course Work,2.3244444444444445
INF3001,Reading,2022-10-07,11:03:46,2022-10-07,11:31:56,00:28:10,Course Work,0.46944444444444444
